City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
299,Taoudenni,ML,22.6783,-3.9836,82.02,16,10,14.61,clear sky
300,Piuí,BR,-20.4653,-45.9581,83.89,53,49,5.61,scattered clouds
301,Hermanus,ZA,-34.4187,19.2345,65.05,70,29,15.73,scattered clouds
302,Slyudyanka,RU,51.6594,103.7061,-12.73,97,40,4.52,scattered clouds
303,Eydhafushi,MV,5.1033,73.0708,83.62,76,94,11.52,overcast clouds
304,Raja,SS,8.4596,25.678,82.6,17,29,4.29,scattered clouds
305,Irymple,AU,-34.25,142.1667,61.09,87,93,15.99,overcast clouds
306,Gizo Government Station,SB,-8.103,156.8419,82.27,81,99,15.28,light rain
307,Yankton,US,42.8711,-97.3973,31.12,86,100,31.07,overcast clouds
308,Laayoune,EH,27.1622,-13.2032,79.14,57,0,11.5,clear sky
309,Fale old settlement,TK,-9.3852,-171.2468,82.94,78,92,8.68,moderate rain
310,Yaren,NR,-0.5472,166.916,81.75,75,100,3.94,overcast clouds
311,Penne,IT,42.4538,13.9299,45.52,89,78,2.86,broken clouds
312,Barddhamān,IN,23.25,87.85,67.75,58,0,3.56,clear sky
313,Isangel,VU,-19.55,169.2667,74.77,67,96,14.29,overcast clouds
314,Puerto Ayacucho,VE,5.6639,-67.6236,89.74,59,25,1.99,scattered clouds
315,Pangody,RU,65.85,74.4859,-37.66,100,29,4.29,scattered clouds
316,Rome,US,43.2128,-75.4557,51.08,75,100,10.36,overcast clouds
317,Maloye Ganyushkino,KZ,46.6,49.2667,32.92,71,98,23.58,overcast clouds
318,Puerto San José,GT,13.9256,-90.8244,84.31,62,4,3.29,clear sky
319,Rio Verde de Mato Grosso,BR,-18.9181,-54.8442,100.44,30,19,8.79,few clouds
320,Al Burayqah,LY,30.4062,19.5739,60.22,72,100,8.81,light rain
321,Island Harbour,GB,50.724,-1.2758,53.92,76,11,11.99,few clouds
322,Arar,SA,30.9753,41.0381,62.62,51,0,6.91,clear sky
323,Porto-Novo,BJ,6.4965,2.6036,87.62,69,3,8.5,clear sky
324,Motygino,RU,58.1831,94.7592,-26.21,100,100,1.01,overcast clouds
325,Gudaut'a,GE,43.1055,40.6207,57.87,79,100,2.68,overcast clouds
326,Alofi,NU,-19.0595,-169.9187,78.69,83,100,8.05,moderate rain
327,Inari,FI,68.906,27.0288,7.0,90,91,10.04,overcast clouds
328,Turaif,SA,31.6725,38.6637,55.65,54,0,4.61,clear sky
329,Flekkefjord,NO,58.2971,6.6607,36.95,94,100,22.1,overcast clouds
330,Mogador,MA,31.5125,-9.77,87.3,16,0,16.11,clear sky
331,Esim,GH,4.8699,-2.2405,83.88,71,55,9.19,broken clouds
332,Tôlanaro,MG,-25.0319,46.9987,77.07,94,75,9.22,thunderstorm with light rain
333,Callao,PE,-12.0667,-77.15,70.09,73,40,8.05,scattered clouds
334,Mecitözü,TR,40.52,35.2953,45.09,79,100,6.6,overcast clouds
335,York,US,40.1254,-77.0,41.99,87,100,6.91,mist
336,Vytegra,RU,61.0064,36.4481,2.35,98,61,4.0,broken clouds
337,Aykhal,RU,66.0,111.5,-22.94,98,100,6.2,overcast clouds
338,Boone,US,39.0334,-92.3335,46.67,72,28,1.99,scattered clouds
339,Prince Albert,CA,53.2001,-105.7677,13.95,85,20,9.22,few clouds
340,Boromo,BF,11.75,-2.9333,94.57,7,36,9.24,scattered clouds
341,Smirnykh,RU,49.75,142.8333,16.45,83,33,13.44,scattered clouds
342,Williams Lake,CA,52.1415,-122.1445,31.05,72,100,19.57,light snow
343,Reggane,DZ,26.7158,0.1714,70.95,19,69,13.47,broken clouds
344,Angoche,MZ,-16.2325,39.9086,82.45,75,0,16.98,clear sky
345,Puerto Madryn,AR,-42.7692,-65.0385,70.95,28,16,28.79,few clouds
346,Saint-Louis,SN,16.3333,-15.0,98.24,8,100,12.46,overcast clouds
347,Sandnessjøen,NO,66.0217,12.6316,23.52,77,97,23.98,overcast clouds
348,Howrah,IN,22.5892,88.3103,69.8,83,40,0.0,haze
349,Newman,US,37.3138,-121.0208,42.26,70,94,1.01,overcast clouds
350,Senador Pompeu,BR,-5.5881,-39.3717,99.5,27,88,5.93,overcast clouds
351,Meulaboh,ID,4.1363,96.1285,77.18,92,100,3.27,light rain
352,Yabēlo,ET,4.8833,38.0833,70.61,38,83,10.74,broken clouds
353,La Santisima Trinidad,BO,-14.8333,-64.9,87.78,70,40,5.75,scattered clouds
354,Constanța,RO,44.1833,28.65,32.7,82,100,14.97,overcast clouds
355,The Pas,CA,53.8251,-101.2541,17.62,86,0,9.22,clear sky
356,Trinity Beach,AU,-16.7888,145.6968,76.89,85,75,4.61,broken clouds
357,Saint-Philippe,RE,-21.3585,55.7679,80.19,87,55,10.47,broken clouds
358,New Norfolk,AU,-42.7826,147.0587,45.9,84,58,2.21,broken clouds
359,Atmore,US,31.0238,-87.4939,74.66,90,28,9.95,scattered clouds
360,Yamada,JP,39.4667,141.95,53.01,83,71,3.96,broken clouds
361,Hammond,US,41.5834,-87.5,50.45,74,75,17.27,broken clouds
362,Rabo de Peixe,PT,37.8,-25.5833,67.51,99,75,19.57,broken clouds
363,Rensselaer,US,42.7168,-73.4829,45.45,82,89,7.96,overcast clouds
364,Karukh,AF,34.4811,62.5863,47.91,41,95,3.74,overcast clouds
365,Kapsan-ŭp,KP,41.0903,128.2933,17.56,84,32,2.71,scattered clouds
366,Shahbā,SY,32.8551,36.629,50.36,77,100,11.83,overcast clouds
367,Sabiñánigo,ES,42.5192,-0.3661,52.12,89,88,5.01,overcast clouds
368,Arqalyk,KZ,50.2486,66.9114,-4.2,73,0,3.36,clear sky
369,Ancud,CL,-41.8697,-73.8203,54.61,66,35,7.49,scattered clouds
370,Fort Bragg,US,35.139,-79.006,69.91,60,0,4.61,clear sky
371,Kamaishi,JP,39.2667,141.8833,53.74,82,56,4.25,broken clouds
372,Am Timan,TD,11.0297,20.2827,84.45,14,11,1.43,few clouds
373,Ceelbuur,SO,4.685,46.6176,82.51,51,9,14.23,clear sky
374,Andergrove,AU,-21.0833,149.1833,76.64,74,60,17.6,broken clouds
375,Chivhu,ZW,-19.0211,30.8922,81.09,19,57,7.94,broken clouds
376,Las Palmas,ES,28.4204,-14.0131,70.59,73,20,13.8,few clouds
377,Sinop Province,TR,41.7711,34.8709,48.87,98,100,3.02,overcast clouds
378,Bom Jesus,BR,-9.0744,-44.3586,100.44,23,87,10.71,overcast clouds
